,PHILIPPINES,NATIONAL CAPITAL REGION,City of Manila,City of Mandaluyong,City of San Juan,Quezon City,City of Marikina,City of Pasig,City of Caloocan,City of Malabon,City of Navotas,City of Valenzuela,City of Las Pi?as,City of Muntinlupa,City of Para?aque,Pasay City,City of Makati,Pateros,City of Taguig,CAR - CORDILLERA ADMINISTRATIVE REGION,Abra,Benguet (Excluding City of Baguio),City of Baguio,Ifugao,Kalinga,Mountain Province,Apayao,REGION I - ILOCOS REGION,Ilocos Norte,Ilocos Sur,La Union,Pangasinan,REGION II - CAGAYAN VALLEY,Batanes,Cagayan,Isabela,Nueva Vizcaya,Quirino,REGION III - CENTRAL LUZON,Aurora,Bataan,Bulacan,Nueva Ecija,Pampanga (Excluding City of Angeles),City of Angeles,Tarlac,Zambales (Excluding City of Olongapo),City of Olongapo,REGION IVA - CALABARZON,Batangas,Cavite,Laguna,Quezon (Excluding City of Lucena),City of Lucena,Rizal,MIMAROPA REGION,Marinduque,Occidental Mindoro,Oriental Mindoro,Palawan (Excluding City of Puerto Princesa),City of Puerto Princesa,Romblon,REGION V - BICOL REGION,Albay,Camarines Norte,Camarines Sur,Catanduanes,Masbate,Sorsogon,REGION VI - WESTERN VISAYAS,Aklan,Antique,Capiz,Iloilo (Excluding City of Iloilo),City of Iloilo,Guimaras,NEGROS ISLAND REGION,Negros Occidental (Excluding City of Bacolod),City of Bacolod,Negros Oriental,Siquijor,REGION VII - CENTRAL VISAYAS,Bohol,Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),City of Cebu,City of Lapu-Lapu (Opon),City of Mandaue,REGION VIII - EASTERN VISAYAS,Eastern Samar,Leyte (Excluding City of Tacloban),City of Tacloban,Northern Samar,Samar (Western Samar),Southern Leyte,Biliran,REGION IX - ZAMBOANGA PENINSULA,Zamboanga Del Norte,Zamboanga Del Sur (Excluding City of Zamboanga),City of Zamboanga,Zamboanga Sibugay,Isabela City,REGION X - NORTHERN MINDANAO,Bukidnon,Camiguin,Lanao Del Norte (Excluding City of Iligan),City of Iligan,Misamis Occidental,Misamis Oriental (Excluding City of Cagayan De Oro),City of Cagayan De Oro,REGION XI - DAVAO REGION,Davao Del Norte,Davao Del Sur (Excluding City of Davao),City of Davao,Davao Oriental,Davao De Oro,Davao Occidental,REGION XII - SOCCSKSARGEN1/,Cotabato (North Cotabato),South Cotabato (Excluding City of General Santos),City of General Santos (Dadiangas),Sultan Kudarat,Sarangani,CARAGA,Agusan Del Norte (Excluding City of Butuan),City of Butuan,Agusan Del Sur,Surigao Del Norte,Surigao Del Sur,Dinagat Islands,BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,Basilan,Lanao Del Sur,Maguindanao,Maguindanao del Sur,Maguindanao del Norte,Sulu,Tawi-Tawi,Cotabato City
Transport, 6.6 , 6.6 , 5.0 , 5.6 , 6.0 , 8.0 , 7.9 , 6.0 , 7.3 , 6.2 , 5.4 , 6.4 , 7.5 , 7.1 , 7.5 , 5.5 , 5.6 , 5.5 , 5.5 , 7.4 , 6.0 , 8.7 , 7.7 , 7.3 , 6.9 , 3.8 , 7.0 , 6.1 , 6.3 , 6.4 , 6.6 , 5.8 , 6.2 , 6.6 , 5.9 , 6.2 , 6.9 , 6.1 , 7.1 , 5.5 , 7.2 , 8.1 , 6.1 , 7.0 , 7.0 , 7.1 , 6.5 , 5.6 , 7.5 , 7.9 , 7.8 , 7.3 , 5.3 , 5.3 , 8.1 , 6.1 , 6.2 , 5.3 , 7.4 , 5.4 , 6.5 , 4.8 , 5.3 , 5.5 , 5.0 , 5.4 , 4.9 , 4.4 , 5.6 , 6.3 , 5.7 , 5.3 , 6.0 , 6.7 , 6.6 , 5.3 , 6.3 , 6.1 , 7.2 , 6.0 , 5.6 , 6.6 , 6.2 , 7.1 , 5.9 , 6.7 , 6.1 , 5.3 , 5.0 , 6.0 , 6.6 , 4.2 , 4.3 , 5.0 , 5.4 , 5.2 , 5.7 , 4.1 , 5.7 , 4.9 , 6.2 , 6.6 , 6.3 , 5.6 , 5.5 , 6.6 , 6.0 , 7.0 , 7.5 , 6.4 , 6.3 , 6.1 , 6.9 , 5.4 , 6.3 , 4.3 , 6.6 , 6.1 , 6.7 , 8.4 , 5.9 , 5.9 , 5.9 , 6.5 , 7.0 , 5.6 , 5.1 , 6.1 , 4.9 , 4.6 , 5.3 , 4.8 , 4.8 ,,, 3.1 , 5.6 , 4.8 
Information and Communication, 2.2 , 2.8 , 2.5 , 2.9 , 3.1 , 2.8 , 3.0 , 2.9 , 2.5 , 2.2 , 2.4 , 2.4 , 3.1 , 2.8 , 3.1 , 3.3 , 3.0 , 2.7 , 2.7 , 2.5 , 1.7 , 2.5 , 3.7 , 1.5 , 1.2 , 1.5 , 1.3 , 1.9 , 2.2 , 2.3 , 2.1 , 1.8 , 1.8 , 2.5 , 1.7 , 1.7 , 2.0 , 1.6 , 2.4 , 1.6 , 2.4 , 2.6 , 2.0 , 2.6 , 2.8 , 2.1 , 2.1 , 2.8 , 2.6 , 2.9 , 2.7 , 2.6 , 1.9 , 2.5 , 2.6 , 1.4 , 1.4 , 1.2 , 1.5 , 1.3 , 2.1 , 1.2 , 1.5 , 1.6 , 1.4 , 1.6 , 1.2 , 1.1 , 1.4 , 1.7 , 1.6 , 1.6 , 1.4 , 1.5 , 2.7 , 1.3 , 1.9 , 1.6 , 2.8 , 1.8 , 1.2 , 2.0 , 1.6 , 1.9 , 2.5 , 2.4 , 2.2 , 1.4 , 1.1 , 1.6 , 2.1 , 1.1 , 1.2 , 1.5 , 1.4 , 1.5 , 1.2 , 1.2 , 2.0 , 1.3 , 2.1 , 2.0 , 1.6 , 1.2 , 1.5 , 2.7 , 1.7 , 1.8 , 2.7 , 1.7 , 1.5 , 1.5 , 2.1 , 1.1 , 1.2 , 0.7 , 1.5 , 1.2 , 1.5 , 2.1 , 1.5 , 1.0 , 1.4 , 1.4 , 2.1 , 1.1 , 1.4 , 1.2 , 1.1 , 1.2 , 1.3 , 1.0 , 1.3 ,,, 1.0 , 1.2 , 1.7 
"Recreation, Sport and Culture", 0.7 , 0.7 , 0.6 , 0.7 , 0.8 , 0.8 , 0.8 , 0.9 , 0.5 , 0.4 , 0.4 , 0.5 , 0.5 , 0.7 , 0.6 , 0.6 , 0.9 , 0.6 , 0.5 , 0.9 , 0.7 , 1.0 , 1.1 , 0.7 , 0.6 , 1.0 , 0.7 , 0.7 , 0.7 , 0.5 , 0.8 , 0.7 , 0.7 , 1.1 , 0.8 , 0.6 , 0.7 , 0.8 , 0.6 , 0.9 , 0.8 , 0.7 , 0.7 , 0.5 , 0.5 , 0.5 , 0.9 , 1.1 , 0.8 , 0.8 , 0.7 , 0.9 , 1.2 , 1.4 , 0.9 , 0.9 , 1.1 , 0.8 , 1.1 , 0.7 , 0.6 , 1.1 , 0.9 , 0.8 , 0.9 , 0.8 , 1.1 , 0.9 , 1.0 , 0.8 , 1.1 , 1.3 , 0.5 , 0.7 , 0.7 , 0.7 , 0.8 , 0.9 , 0.7 , 0.7 , 0.9 , 0.8 , 1.1 , 0.7 , 0.7 , 0.9 , 0.5 , 1.1 , 1.2 , 1.0 , 0.9 , 1.0 , 1.0 , 1.2 , 1.5 , 0.7 , 0.8 , 0.6 , 0.5 , 1.1 , 0.6 , 0.7 , 0.7 , 0.9 , 0.6 , 0.6 , 0.7 , 0.5 , 0.7 , 0.6 , 0.6 , 0.6 , 0.7 , 0.8 , 0.6 , 0.6 , 0.7 , 0.7 , 0.8 , 0.7 , 0.8 , 0.7 , 0.8 , 0.6 , 0.7 , 0.9 , 0.8 , 1.0 , 0.9 , 0.4 , 0.4 , 0.4 , 0.5 ,,, 0.3 , 0.4 , 0.4 
Education, 2.6 , 2.8 , 2.7 , 2.9 , 3.5 , 3.4 , 3.9 , 3.0 , 2.2 , 2.1 , 1.7 , 2.8 , 2.6 , 2.8 , 3.0 , 2.7 , 2.2 , 2.8 , 1.9 , 5.2 , 2.3 , 5.7 , 6.4 , 3.5 , 3.0 , 4.4 , 9.4 , 2.1 , 1.7 , 1.6 , 2.3 , 2.3 , 2.3 , 2.6 , 2.1 , 1.7 , 3.8 , 3.0 , 2.1 , 3.0 , 2.0 , 2.3 , 2.0 , 1.9 , 1.8 , 1.9 , 1.7 , 2.6 , 3.0 , 3.2 , 3.0 , 3.0 , 2.6 , 2.7 , 3.2 , 2.3 , 2.4 , 2.7 , 2.3 , 2.3 , 2.2 , 2.0 , 2.7 , 2.4 , 2.8 , 3.3 , 1.8 , 2.4 , 2.2 , 2.7 , 2.2 , 2.3 , 1.4 , 3.1 , 3.4 , 2.6 , 2.6 , 2.1 , 3.6 , 2.9 , 1.9 , 2.5 , 3.1 , 1.9 , 3.0 , 3.0 , 2.8 , 2.3 , 2.2 , 2.6 , 3.0 , 2.0 , 1.8 , 2.2 , 1.5 , 2.2 , 2.3 , 2.0 , 2.1 , 2.4 , 2.0 , 2.6 , 1.9 , 1.9 , 2.1 , 2.5 , 3.4 , 2.1 , 3.7 , 2.4 , 1.9 , 2.8 , 2.7 , 1.4 , 2.7 , 2.3 , 2.6 , 2.1 , 2.8 , 3.0 , 2.8 , 2.2 , 2.8 , 2.4 , 3.5 , 2.9 , 2.2 , 2.5 , 3.8 , 2.1 , 1.6 , 1.8 , 1.5 ,,, 4.6 , 0.9 , 2.1 
Hotels (Accommodation Services), 0.2 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.2 , 0.1 , 0.2 , 0.1 , 0.3 , 0.3 , 0.5 , 0.2 , 0.5 , 0.2 , 0.1 , 0.6 , 0.7 , 0.2 , -   , 0.3 , 0.2 , 0.3 , 0.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.3 , 0.1 , 0.0 , 0.2 , 0.2 , 0.1 , 0.3 , 0.4 , 0.1 , 0.2 , 0.6 , 0.3 , 0.3 , 0.1 , 0.2 , 0.2 , 0.1 , 0.1 , 0.0 , 0.1 , 0.1 , 0.1 , 0.2 , 0.1 , 0.1 , 0.0 , 0.2 , 0.2 , 0.5 , 0.4 , 0.2 , 0.1 , 0.0 , 0.1 , 0.1 , 0.1 , 0.0 , 0.1 , 0.2 , 0.1 , 0.3 , 0.1 , 0.0 , 0.0 , 0.0 , 0.2 , 0.3 , 0.3 , 0.0 , 0.2 , 0.2 , 0.3 , 0.4 , 0.1 , 0.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.3 , 0.0 , 0.0 , 0.0 , 0.1 , 0.1 , 0.0 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.0 , 0.1 , 0.2 , 0.2 , 0.0 , 0.2 , 0.1 , 0.3 , 0.1 , 0.2 , 0.4 , 0.2 , 0.3 , 0.4 , 0.0 , 0.1 , 0.0 , 0.0 ,,, 0.0 , -   , 0.0 
Insurance and Financial Services, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6.6 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,, -   , -   , -   
"Personal Care, Social Protection and Miscellaneous Goods and Services", 6.6 , 6.8 , 6.3 , 6.2 , 5.4 , 6.8 , 6.8 , 6.7 , 7.0 , 6.8 , 6.7 , 7.4 , 6.9 , 7.4 , 7.2 , 8.0 , 6.5 , 6.9 , 7.0 , 7.2 , 7.9 , 6.2 , 7.9 , 7.6 , 6.3 , 7.6 , 7.2 , 7.0 , 6.9 , 6.1 , 7.4 , 7.1 , 6.8 , 8.7 , 6.0 , 7.1 , 7.8 , 7.5 , 6.4 , 7.1 , 7.0 , 6.7 , 6.2 , 5.9 , 6.0 , 6.7 , 6.1 , 6.7 , 6.8 , 8.0 , 6.7 , 6.8 , 6.8 , 6.8 , 6.4 , 6.6 , 7.4 , 7.2 , 6.9 , 5.7 , 6.3 , 7.2 , 6.4 , 6.4 , 6.1 , 6.4 , 6.7 , 6.1 , 6.6 , 6.8 , 6.6 , 7.5 , 7.3 , 6.8 , 2.6 , 5.9 , 6.1 , 6.0 , 6.4 , 5.9 , 6.7 , 5.9 , 5.4 , 5.9 , 5.8 , 6.7 , 6.0 , 6.7 , 6.3 , 6.2 , 7.4 , 7.3 , 7.2 , 6.5 , 6.5 , 6.6 , 6.4 , 6.3 , 6.4 , 7.4 , 9.3 , 6.3 , 6.3 , 6.9 , 5.6 , 6.5 , 6.1 , 6.5 , 6.3 , 6.3 , 6.3 , 6.4 , 6.4 , 5.9 , 6.4 , 5.9 , 6.1 , 5.2 , 6.6 , 7.0 , 5.9 , 6.4 , 6.3 , 5.9 , 6.5 , 6.9 , 5.5 , 6.5 , 6.1 , 6.1 , 6.8 , 6.4 , 5.6 ,,, 5.4 , 6.2 , 6.8 
Durable Furniture and Equipment, 3.5 , 2.9 , 2.4 , 2.1 , 1.3 , 3.9 , 2.7 , 2.8 , 2.1 , 2.0 , 1.9 , 2.1 , 2.6 , 2.8 , 2.8 , 2.5 , 2.5 , 5.0 , 3.8 , 2.8 , 2.4 , 2.2 , 3.1 , 3.5 , 3.3 , 2.6 , 2.8 , 3.0 , 4.2 , 3.9 , 2.9 , 2.6 , 3.1 , 5.4 , 3.8 , 2.0 , 2.8 , 7.5 , 4.0 , 5.5 , 4.9 , 5.8 , 2.8 , 2.5 , 3.5 , 3.0 , 4.4 , 2.7 , 4.0 , 1.8 , 4.9 , 4.5 , 3.3 , 3.7 , 4.0 , 3.6 , 5.8 , 5.1 , 2.9 , 2.8 , 3.0 , 4.1 , 3.4 , 3.8 , 3.5 , 2.9 , 3.6 , 3.9 , 3.2 , 3.5 , 4.7 , 3.2 , 3.3 , 3.8 , 3.4 , 2.3 , 3.6 , 3.4 , 2.5 , 4.4 , 5.8 , 3.5 , 7.4 , 2.6 , 2.8 , 1.8 , 2.4 , 3.8 , 2.9 , 3.7 , 5.4 , 2.6 , 3.7 , 3.9 , 6.3 , 3.6 , 4.6 , 3.2 , 2.4 , 4.9 , 5.1 , 3.5 , 4.7 , 4.7 , 1.6 , 2.4 , 5.3 , 3.3 , 2.7 , 3.8 , 4.7 , 2.1 , 4.1 , 3.6 , 3.0 , 3.8 , 3.7 , 3.6 , 4.5 , 3.2 , 3.4 , 3.5 , 5.2 , 4.2 , 3.9 , 4.8 , 5.0 , 7.1 , 5.1 , 1.3 , 3.2 , 1.1 , 1.5 ,,, 0.4 , 0.9 , 1.9 
Special Family Occasion, 2.8 , 1.9 , 1.6 , 1.0 , 1.2 , 1.7 , 1.3 , 2.6 , 2.6 , 1.9 , 1.7 , 2.0 , 1.3 , 2.1 , 1.3 , 1.9 , 2.1 , 2.3 , 3.0 , 2.3 , 1.8 , 2.4 , 1.6 , 3.3 , 2.3 , 5.0 , 2.3 , 2.6 , 3.6 , 3.8 , 2.8 , 2.1 , 2.8 , 4.5 , 3.0 , 2.6 , 2.5 , 2.4 , 3.2 , 2.8 , 2.6 , 2.8 , 3.1 , 4.2 , 3.3 , 3.4 , 3.4 , 2.3 , 2.3 , 3.2 , 1.9 , 2.1 , 3.1 , 2.8 , 2.1 , 2.4 , 3.0 , 2.8 , 2.2 , 2.1 , 2.1 , 2.9 , 3.1 , 2.7 , 2.7 , 3.3 , 4.4 , 3.9 , 2.8 , 4.9 , 4.6 , 2.7 , 6.5 , 5.3 , 2.1 , 4.6 , 3.3 , 3.3 , 3.1 , 3.4 , 6.4 , 3.2 , 4.8 , 3.3 , 2.4 , 2.3 , 2.1 , 4.5 , 5.5 , 4.1 , 3.3 , 5.5 , 4.5 , 4.9 , 4.9 , 3.2 , 3.5 , 3.1 , 2.8 , 3.4 , 4.5 , 4.0 , 3.5 , 6.0 , 2.7 , 3.0 , 4.2 , 5.5 , 4.1 , 3.2 , 3.1 , 2.9 , 2.9 , 5.1 , 3.2 , 3.7 , 3.4 , 3.4 , 3.6 , 3.6 , 2.7 , 3.4 , 4.4 , 4.2 , 3.3 , 4.5 , 4.6 , 4.8 , 5.4 , 1.9 , 3.7 , 0.8 , 2.7 ,,, 0.9 , 1.3 , 2.4 
Other Expenditures, 2.5 , 3.9 , 4.8 , 10.2 , 7.1 , 3.1 , 4.2 , 3.3 , 1.8 , 1.6 , 1.2 , 1.2 , 4.6 , 3.5 , 6.1 , 5.1 , 4.5 , 3.1 , 3.2 , 2.5 , 1.5 , 3.4 , 1.9 , 2.7 , 1.3 , 5.7 , 0.9 , 1.8 , 1.2 , 1.1 , 1.7 , 2.1 , 2.0 , 3.1 , 1.9 , 2.3 , 1.5 , 1.8 , 2.2 , 1.8 , 1.9 , 2.2 , 1.6 , 2.4 , 2.1 , 2.6 , 2.3 , 3.9 , 3.1 , 1.7 , 4.1 , 2.6 , 2.4 , 2.2 , 3.6 , 2.0 , 3.1 , 3.5 , 1.2 , 1.3 , 1.6 , 3.6 , 1.6 , 1.7 , 1.2 , 1.4 , 2.3 , 1.8 , 1.5 , 1.7 , 2.4 , 0.8 , 1.8 , 1.6 , -   , 1.5 , 1.9 , 1.8 , 3.4 , 1.0 , 1.6 , 1.1 , 1.3 , 0.9 , 1.7 , 1.1 , 0.8 , 1.8 , 2.0 , 1.6 , 2.5 , 1.7 , 1.6 , 1.4 , 3.1 , 1.6 , 1.6 , 2.6 , 1.2 , 1.2 , 1.2 , 1.7 , 1.2 , 2.2 , 1.0 , 1.3 , 1.9 , 2.1 , 2.4 , 1.3 , 0.8 , 1.1 , 1.5 , 2.1 , 1.1 , 1.8 , 1.7 , 1.2 , 2.4 , 2.0 , 1.0 , 2.1 , 2.2 , 1.8 , 2.1 , 3.4 , 1.3 , 1.7 , 1.9 , 1.4 , 1.1 , 1.9 , 1.3 ,,, 1.4 , 1.1 , 1.2 
